,Indicador 17- Total elementos servicio,Indicador 6- Funcionamiento del COMUDE,Indicador 18- Oficinas municipales con instrumentos de gestiÃ³n,Indicador 20- Ingresos per capita,Indicador 24- EjecuciÃ³n plan operativo,3) Indice de Informacion a Ciudadania,ranking,Indicador 28- Acciones de Ordenamiento Territorial,Indicador 19- Independencia financiera,Indicador 7- Existencia de reglamento interno,Indicador 10- Presentacion informacion ejecucion presupuestaria anual,7) Indice de Gestion Estrategica,indice_gestion,Indicador 27- Presupuesto destinado a DEL_ Servicios PÃºblicos y GestiÃ³n Ambiental,Indicador 29- AnÃ¡lisis de riesgo en inversiÃ³n pÃºblica,8) Indice de Municipio Saludable,Indicador 4- Asistencia del Alcalde al total de reuniones del COMUDE,5) Indice de Gestion Administrativa,Indicador 13- Monto asignado Guatecompras como porcentaje de egresos (SOLO TRANSFERENCIAS DE CAPITAL),municipio,Indicador 22- InversiÃ³n con ingreso s propios,Indicador 15- Calidad y cobertura recolecciÃ³n de basura en el municipio,2) Indice de Participacion,Indicador 12- Porcentaje de informacion publica de oficio disponible,departamento,6) Indice de Gestion Financiera,Indicador 21- InversiÃ³n con transferencias,Indicador 25- Posicionamiento estratÃ©gico del Plan de Desarrollo,Indicador 23- Deuda en el total de ingresos,Indicador 5- Representacion territorial del COMUDE,Indicador 1- Reuniones ordinarias del COMUDE,Indicador 16- GestiÃ³n de mercados y rastros,Indicador 2- Asistencia Concejales designados y concejal de salud (MSALUDABLE),Indicador 3- RepresentaciÃ³n de grupos de mujeres_ jÃ³venes e indÃ­genas,1) Indice de Gestion 2012,Indicador 14- Calidad y cobertura de agua en el municipio,Indicador 11- InformaciÃ³n disponible medios diversos,Indicador 8- Total temas tratados,Indicador 9- Numero de rendiciones de cuentas trimestrales en el aÃ±o y foco en resultados,Indicador 26- Proyectos plan de desarrollo municipal,4) Indice de Servicios
2008,2,0.2889,0.25,92.8954,0.5652,0.3191,237,0,0.0631,0,1,0.4009,0.2906,0.0808,1,0.2662,0.5,0.2679,0.4457,Concepcion Las Minas,0.1365,0.25,0.1066,0.15,Chiquimula,0.3043,0.4857,0.4285,0.69,0,2,0.25,0,0,0.2906,0.4,0,0,0,0.0979,0.3448
2009,3,0,0.225,102.9309,0.6458,0.2084,198,0,0.1755,0,0,0.349,0.3261,0.2178,1,0.4235,1,0.3268,0.4756,Quetzaltepeque,0.0366,0.25,0.4412,0.2,Chiquimula,0.3446,0.5658,0,0.7849,0.9571,5,0.375,0.76,0.5,0.3261,0.1,0,4,0.3667,0.002,0.2865
201,1,0,0.25,238.4636,0.9375,0.0816,303,0,0.0956,0,0,0.5705,0.2202,0.3044,1,0.0604,0,0.1964,0.3581,Guastatoya,0.044,0,0,0.05,El Progreso,0.431,0.7646,0.5538,1,0,0,0.125,0,0,0.2202,0,0,0,0,0.2628,0.0417
2010,2,0.5444,0.175,48.4516,0.7419,0.7627,104,0,0.0246,0,1,0.3977,0.4134,0.0847,1,0.5004,1,0.2304,0.6133,San Jacinto,0.0065,0.25,0.6234,0.5,Chiquimula,0.241,0.543,0.1639,0.5392,0.0455,11,0.125,0.8909,0.5,0.4134,0.1667,1,10,0.7,0.1639,0.2254
2011,1,0.3286,0.225,345.0043,0.82,0.0662,246,0,0.1496,0,0,0.4835,0.2841,0.1529,1,0.2401,0.7143,0.1839,0.1311,Ipala,0.5209,0.25,0.3259,0.2,Chiquimula,0.3999,0.4983,0.3282,0.425,0.1657,7,0.25,0,0,0.2841,0.1,0,5,0,0.3094,0.2449
202,5,0.3222,0.55,81.9794,0.8,0.3025,111,0,0.0547,0,1,0.6053,0.4074,0.4267,1,0.2437,1,0.6321,0.3459,Morazan,0.0499,0.0471,0.3795,0,El Progreso,0.33,0.4353,1,1,0,6,0,0,0.5,0.4074,0.5117,0,7,0.1667,0,0.1947
203,2,0.4667,0.675,25.8025,0.2881,0.1386,259,0,0.0523,0,0,0.3498,0.2673,0.1228,1,0.2749,0,0.4804,0.5928,San Agustin Acasaguastan,0.037,0.0517,0.2204,0.1,El Progreso,0.2754,0.2378,0.4756,1,0,2,0.125,0,0.5,0.2673,0.2138,0,8,0,0,0.1394
204,4,0.5556,0.5,133.3344,1,0.5288,23,0,0.0629,1,0,0.6042,0.5237,0.128,1,0.4402,0.2727,0.5357,0.4442,San Cristobal Acasaguastlan,0.0917,0.25,0.6761,0.4,El Progreso,0.4191,0.7525,0.7721,1,0.0455,10,0.25,0.9091,0.5,0.5237,0.5,1,10,0.8,0.373,0.3781
205,3,0.1,0.375,51.047,0.4737,0.2037,309,0,0.0417,0,0,0.2269,0.2055,0.1858,0,0.1125,0,0.4018,0.5185,El Jicaro,0.0057,0,0.033,0.5,El Progreso,0.3675,0.768,0.5453,0.9047,0,0,0,0,0,0.2055,0,0,3,0,0,0
206,2,0.1,0.475,1096.6627,0.375,0.0595,207,0.25,0.3422,0,0,0.3262,0.3184,0.0183,1,0.2535,0.7778,0.3804,0.2475,Sansare,0,0,0.4131,0.05,El Progreso,0.4173,0.1157,0.2565,0.881,0.5,9,0.375,0,0,0.3184,0.566,0,6,0,0.0128,0.3136
